n,r,m
"(:Release:Release_depend:Release_depend_SemVer {id: org.apache.flink:flink-test-utils:1.17.0,artifact_id: org.apache.flink:flink-test-utils,version: 1.17.0,timestamp: 1679046168000})","[:dependency_to_log4j_SemVer {targetVersion: 2.17.1,timestamp: 1640647854000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apache.flink:flink-test-utils:1.17.0,artifact_id: org.apache.flink:flink-test-utils,version: 1.17.0,timestamp: 1679046168000})",[:dependency_to_log4j {targetVersion: 2.17.1}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apache.flink:flink-test-utils:1.17.0,artifact_id: org.apache.flink:flink-test-utils,version: 1.17.0,timestamp: 1679046168000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apache.flink:flink-test-utils:1.17.0,artifact_id: org.apache.flink:flink-test-utils,version: 1.17.0,timestamp: 1679046168000})","[:dependency {scope: test,targetVersion: 2.17.1}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apache.flink:flink-test-utils:1.17.1,artifact_id: org.apache.flink:flink-test-utils,version: 1.17.1,timestamp: 1684487173000})","[:dependency_to_log4j_SemVer {targetVersion: 2.17.1,timestamp: 1640647854000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apache.flink:flink-test-utils:1.17.1,artifact_id: org.apache.flink:flink-test-utils,version: 1.17.1,timestamp: 1684487173000})",[:dependency_to_log4j {targetVersion: 2.17.1}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apache.flink:flink-test-utils:1.17.1,artifact_id: org.apache.flink:flink-test-utils,version: 1.17.1,timestamp: 1684487173000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apache.flink:flink-test-utils:1.17.1,artifact_id: org.apache.flink:flink-test-utils,version: 1.17.1,timestamp: 1684487173000})","[:dependency {scope: test,targetVersion: 2.17.1}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.hpccsystems:commons-hpcc:8.2.68-1,artifact_id: org.hpccsystems:commons-hpcc,version: 8.2.68-1,timestamp: 1655482698000})",[:dependency_to_log4j {targetVersion: 2.17.1}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.hpccsystems:commons-hpcc:8.2.68-1,artifact_id: org.hpccsystems:commons-hpcc,version: 8.2.68-1,timestamp: 1655482698000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.hpccsystems:commons-hpcc:8.2.68-1,artifact_id: org.hpccsystems:commons-hpcc,version: 8.2.68-1,timestamp: 1655482698000})","[:dependency {scope: provided,targetVersion: 2.17.1}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.audit4j:audit4j-db:2.4.1-RC2,artifact_id: org.audit4j:audit4j-db,version: 2.4.1-RC2,timestamp: 1456157963000})",[:dependency_to_log4j {targetVersion: 2.5}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.audit4j:audit4j-db:2.4.1-RC2,artifact_id: org.audit4j:audit4j-db,version: 2.4.1-RC2,timestamp: 1456157963000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.audit4j:audit4j-db:2.4.1-RC2,artifact_id: org.audit4j:audit4j-db,version: 2.4.1-RC2,timestamp: 1456157963000})","[:dependency {scope: test,targetVersion: 2.5}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.audit4j:audit4j-db:2.4.1-RC1,artifact_id: org.audit4j:audit4j-db,version: 2.4.1-RC1,timestamp: 1456133891000})",[:dependency_to_log4j {targetVersion: 2.5}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
